iter	Passed	Remaining
768	55224	16588
769	55292	16515
770	55360	16442
771	55427	16369
772	55500	16298
773	55578	16228
774	55669	16162
775	55743	16090
776	55818	16019
777	55905	15952
778	55975	15880
779	56047	15808
780	56124	15737
781	56201	15667
782	56273	15595
783	56342	15522
784	56409	15449
785	56478	15377
786	56547	15304
787	56624	15233
788	56698	15162
789	56776	15092
790	56855	15022
791	56945	14955
792	57023	14885
793	57091	14812
794	57161	14739
795	57237	14669
796	57326	14601
797	57403	14530
798	57486	14461
799	57576	14394
800	57651	14322
801	57729	14252
802	57803	14180
803	57876	14109
804	57951	14038
805	58022	13965
806	58094	13893
807	58169	13822
808	58243	13750
809	58314	13678
810	58383	13605
811	58452	13533
812	58526	13461
813	58621	13395
814	58701	13324
815	58774	13253
816	58844	13180
817	58912	13107
818	58991	13037
819	59090	12971
820	59159	12898
821	59230	12826
822	59302	12754
823	59375	12682
824	59445	12609
825	59516	12537
826	59583	12464
827	59653	12391
828	59720	12318
829	59788	12245
830	59858	12173
831	59932	12101
832	59998	12028
833	60068	11956
834	60135	11883
835	60205	11810
836	60277	11738
837	60345	11665
838	60417	11593
839	60485	11521
840	60552	11448
841	60622	11375
842	60692	11303
843	60759	11230
844	60830	11158
845	60899	11085
846	60970	11013
847	61039	10941
848	61110	10868
849	61178	10796
850	61249	10724
851	61316	10651
852	61384	10578
853	61453	10506
854	61525	10434
855	61600	10362
856	61670	10290
857	61737	10217
858	61805	10145
859	61880	10073
860	61960	10002
861	62027	9930
862	62096	9857
863	62164	9785
864	62234	9712
865	62305	9640
866	62373	9568
867	62440	9495
868	62514	9423
869	62580	9351
870	62649	9278
871	62719	9206
872	62787	9134
873	62856	9061
874	62927	8989
875	63000	8917
876	63070	8845
877	63137	8773
878	63209	8701
879	63278	8628
880	63349	8556
881	63417	8484
882	63487	8412
883	63554	8339
884	63627	8267
885	63695	8195
886	63764	8123
887	63834	8051
888	63910	7979
889	63982	7907
890	64060	7836
891	64135	7765
892	64205	7693
893	64278	7621
894	64347	7549
895	64414	7476
896	64483	7404
897	64555	7332
898	64621	7260
899	64690	7187
900	64764	7116
901	64832	7043
902	64908	6972
903	64982	6900
904	65053	6828
905	65124	6756
906	65191	6684
907	65260	6612
908	65329	6540
909	65399	6468
910	65466	6395
911	65537	6323
912	65603	6251
913	65673	6179
914	65742	6107
915	65811	6035
916	65882	5963
917	65956	5891
918	66024	5819
919	66094	5747
920	66165	5675
921	66233	5603
922	66305	5531
923	66374	5459
924	66442	5387
925	66511	5315
926	66580	5243
927	66655	5171
928	66732	5100
929	66807	5028
930	66876	4956
931	66946	4884
932	67021	4812
933	67090	4740
934	67160	4668
935	67230	4596
936	67297	4524
937	67365	4452
938	67433	4380
939	67503	4308
940	67572	4236
941	67642	4164
942	67711	4092
943	67780	4020
944	67855	3949
945	67927	3877
946	68001	3805
947	68069	3733
948	68140	3661
949	68213	3590
950	68298	3519
951	68372	3447
952	68441	3375
953	68610	3308
954	68708	3237
955	68781	3165
956	68851	3093
957	68932	3022
958	69031	2951
959	69100	2879
960	69171	2807
961	69247	2735
962	69321	2663
963	69389	2591
964	69459	2519
965	69529	2447
966	69596	2375
967	69668	2303
968	69738	2231
969	69806	2158
970	69880	2087
971	69948	2014
972	70023	1943
973	70097	1871
974	70165	1799
975	70238	1727
976	70308	1655
977	70375	1583
978	70444	1511
979	70514	1439
980	70584	1367
981	70652	1295
982	70720	1223
983	70786	1151
984	70857	1079
985	70931	1007
986	71001	935
987	71074	863
988	71144	791
989	71211	719
990	71282	647
991	71350	575
992	71418	503
993	71488	431
994	71554	359
995	71622	287
996	71705	215
997	71780	143
998	71869	71
999	71948	0
