iter	Logloss
0	0.6906272034
1	0.6889024605
2	0.686805882
3	0.6849666459
4	0.6834561071
5	0.6819198155
6	0.6800122461
7	0.6780105905
8	0.676453334
9	0.6749777057
10	0.6738581545
11	0.6722760284
12	0.6709928956
13	0.6695802083
14	0.6683762863
15	0.666970107
16	0.6655457519
17	0.6644035624
18	0.6631076926
19	0.6617789577
20	0.6605923748
21	0.659176666
22	0.6582490989
23	0.6572194967
24	0.6561834331
25	0.655063696
26	0.6542035791
27	0.6536479407
28	0.6524285856
29	0.651506132
30	0.6504550536
31	0.6495879174
32	0.6486785726
33	0.6474935702
34	0.6465409941
35	0.6458668647
36	0.6451198465
37	0.6444579427
38	0.6435598938
39	0.6427471454
40	0.6420255081
41	0.6413074502
42	0.6407964377
43	0.6402615782
44	0.639694179
45	0.6389474397
46	0.6379426141
47	0.6368831219
48	0.6360037136
49	0.6352941625
50	0.634552676
51	0.6337636815
52	0.6332300307
53	0.6324997471
54	0.6317268831
55	0.6307088557
56	0.630086232
57	0.6295584383
58	0.6289654722
59	0.6284188055
60	0.6278235151
61	0.6272900037
62	0.6266654742
63	0.6260319265
64	0.6254013073
65	0.6248224263
66	0.624313645
67	0.6237131948
68	0.6231613217
69	0.622608426
70	0.6220352626
71	0.6212764371
72	0.6205007374
73	0.6197041659
74	0.6191038552
75	0.6185731329
76	0.6181523482
77	0.6176904706
78	0.6170973186
79	0.6166238196
80	0.6161018831
81	0.6156359147
82	0.6152202435
83	0.6145258466
84	0.6138471152
85	0.613249733
86	0.6128280651
87	0.6122846988
88	0.6119785004
89	0.6114151454
90	0.6109990093
91	0.6104712621
92	0.6099886055
93	0.6095235204
94	0.6092346145
95	0.6088181995
96	0.6083786348
97	0.6076510939
98	0.6072520643
99	0.6066275812
100	0.6061286549
101	0.6057032682
102	0.6052997296
103	0.6049254302
104	0.6043042476
105	0.6040129244
106	0.6033939266
107	0.6029237746
108	0.6026591804
109	0.602313516
110	0.6017208288
111	0.6013891564
112	0.6009786915
113	0.6006947595
114	0.6001769136
115	0.5997632412
116	0.5994291981
117	0.5991044055
118	0.5985682909
119	0.5981285403
120	0.5978049564
121	0.5974432545
122	0.5971014018
123	0.5965702147
124	0.5961778326
125	0.595822871
126	0.5953122769
127	0.5948919571
128	0.5945231895
129	0.594155398
130	0.593797322
131	0.5933877868
132	0.5929228876
133	0.5924787209
134	0.5920685349
135	0.5917818138
136	0.5912946482
137	0.5910259168
138	0.5906046673
139	0.5900250425
140	0.5895733917
141	0.5892294007
142	0.5886752963
143	0.5882137906
144	0.5878848608
145	0.5875179991
146	0.5872361124
147	0.5869052768
148	0.5866150228
149	0.5863308583
150	0.5859520034
151	0.585691314
152	0.5853815827
153	0.5849654931
154	0.5845196529
155	0.5842119204
156	0.5837568296
157	0.5833323726
158	0.582998283
159	0.5827892388
160	0.5825143249
161	0.5822228158
162	0.5817516411
163	0.5814837465
164	0.5810545016
165	0.5808361138
166	0.5806038269
167	0.5803960842
168	0.5800586942
169	0.5798412361
170	0.5795813834
171	0.5793056328
172	0.5790186328
173	0.578797177
174	0.5784200885
175	0.5781496372
176	0.5777861224
177	0.5773760294
178	0.5770454261
179	0.5767351835
180	0.5765665349
181	0.5762665655
182	0.5760094555
183	0.5757760994
184	0.5755110404
185	0.5752901424
186	0.5749937524
187	0.5747758759
188	0.5744010652
189	0.5741801672
190	0.5739982239
191	0.5737557567
192	0.5735506172
193	0.5732471149
194	0.5728965695
195	0.5726403892
196	0.5722360604
197	0.5719954061
198	0.5717818063
199	0.5714993619
200	0.5712100375
201	0.5709386566
202	0.5707108787
203	0.5705302835
204	0.570236915
205	0.5700480453
206	0.5697551416
207	0.5694779965
208	0.5692241869
209	0.5690266245
210	0.5686872821
211	0.5684303115
212	0.5681430326
213	0.5678716051
214	0.5675773998
215	0.5673681696
216	0.5671292354
217	0.5668064882
218	0.5665919122
219	0.5662973815
220	0.5660280459
221	0.5657471819
222	0.5652952056
223	0.5650171772
224	0.5648343507
225	0.56461415
226	0.5643391431
227	0.5639931998
228	0.5637751839
229	0.5634800954
230	0.5632523176
231	0.5630845058
232	0.5628010386
233	0.5625151542
234	0.5622842154
235	0.5620391451
236	0.5617684149
237	0.5615490974
238	0.5612620044
239	0.5609987118
240	0.5607193353
241	0.5604970428
242	0.560264384
243	0.5600560371
244	0.5598020416
245	0.5595889066
246	0.5593886946
247	0.5591774655
248	0.558947038
249	0.5587340425
250	0.5584720981
251	0.5581859812
252	0.5579740549
253	0.5577771433
254	0.5574901897
255	0.5572023065
256	0.5570401659
257	0.5568095525
258	0.5565522565
259	0.5562537746
260	0.5560617904
261	0.5557271895
262	0.5555611441
263	0.5553631169
264	0.5551190227
265	0.5547715454
266	0.5544811984
267	0.554196941
268	0.5539643752
269	0.5537324137
270	0.553510493
271	0.5532465962
272	0.5529736812
273	0.5526748739
274	0.5525393228
275	0.5523000167
276	0.5520984565
277	0.5518736538
278	0.5516802751
279	0.5514337172
280	0.5510628113
281	0.55086325
282	0.5506180867
283	0.5503825459
284	0.55015342
285	0.5499349392
286	0.5496837793
287	0.5494202543
288	0.5491296284
289	0.5488322157
290	0.5485533971
291	0.5483617848
292	0.5480592122
293	0.5478610455
294	0.5476873765
295	0.5475292337
296	0.5472969003
297	0.5471283912
298	0.5469457506
299	0.5466958458
300	0.5465366337
301	0.5463704489
302	0.5461496904
303	0.5459831801
304	0.5458203423
305	0.5456109261
306	0.5453815678
307	0.5451616925
308	0.5449003058
309	0.5446993035
310	0.5444758024
311	0.5442273851
312	0.5439356436
313	0.5437634621
314	0.5435522331
315	0.5433586684
316	0.5431860686
317	0.5429575471
318	0.5427761615
319	0.5425988667
